0,1,image_path
Number of Voters on the Register,438,../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_028_unwrap.jpg
Number of Accredited Voters,40197,../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_028_unwrap.jpg
Number of Rejected Ballot,85,../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_028_unwrap.jpg
Total Number at used Ballot Papers,97,../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_028_unwrap.jpg
0,1,image_path
Number of Voters on the Register,750,../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_016_unwrap.jpg
Number of Accredited Voters,404,../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_016_unwrap.jpg
Number of Rejected Ballot,369,../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_016_unwrap.jpg
Total Number at used Ballot Papers,369,../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_016_unwrap.jpg
0,1,image_path
Number of Voters on the Register,106,../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_047_unwrap.jpg
Number of Accredited Voters,53,../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_047_unwrap.jpg
Number of Rejected Ballot,57.,../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_047_unwrap.jpg
Total Number at used Ballot Papers,53,../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_047_unwrap.jpg
0,1,image_path
Number of Voters on the Register,750,../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_010_unwrap.jpg
Number of Accredited Voters,5,../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_010_unwrap.jpg
Number of Rejected Ballot,05,../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_010_unwrap.jpg
Total Number at used Ballot Papers,05,../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_010_unwrap.jpg
0,1,image_path
Number of Voters on the Register,331,../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
Number of Accredited Voters,75,../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
Number of Rejected Ballot,75,../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
Total Number at used Ballot Papers,75,../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_023_unwrap.jpg
0,1,image_path
Number of Voters on the Register,3EO,../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
Number of Accredited Voters,127,../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
Number of Rejected Ballot,121,../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
Total Number at used Ballot Papers,127,../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_014_unwrap.jpg
0,1,image_path
Number of Voters on the Register,+50,../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
Number of Accredited Voters,118,../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
Number of Rejected Ballot,118,../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
Total Number at used Ballot Papers,118,../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_004_unwrap.jpg
0,1,image_path
Number of Voters on the Register,501,../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
Number of Accredited Voters,147,../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
Number of Rejected Ballot,143,../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
Total Number at used Ballot Papers,144,../test_images/batch_test/unwrapped_files_jpg/state_02/lga_14/ward_04/02_14_04_024_unwrap.jpg
0,1,image_path
Number of Voters on the Register,821,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
Number of Accredited Voters,70,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
Number of Rejected Ballot,170,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
Total Number at used Ballot Papers,170,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_001_unwrap.jpg
0,1,image_path
Number of Voters on the Register,THAT,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_01/01_01_01_015_unwrap.jpg
Number of Accredited Voters,136,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_01/01_01_01_015_unwrap.jpg
Number of Rejected Ballot,,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_01/01_01_01_015_unwrap.jpg
Total Number at used Ballot Papers,SMARTPRINCE,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_01/01_01_01_015_unwrap.jpg
0,1,image_path
Number of Voters on the Register,,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_07/01_01_07_014_unwrap.jpg
Number of Accredited Voters,875,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_07/01_01_07_014_unwrap.jpg
Number of Rejected Ballot,185,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_07/01_01_07_014_unwrap.jpg
Total Number at used Ballot Papers,186,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_07/01_01_07_014_unwrap.jpg
0,1,image_path
Number of Voters on the Register,105,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_01/01_01_01_003_unwrap.jpg
Number of Accredited Voters,VOTESS,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_01/01_01_01_003_unwrap.jpg
Number of Rejected Ballot,,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_01/01_01_01_003_unwrap.jpg
Total Number at used Ballot Papers,ONEHUNDREND,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_01/01_01_01_003_unwrap.jpg
0,1,image_path
Number of Voters on the Register,403,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_021_unwrap.jpg
Number of Accredited Voters,65,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_021_unwrap.jpg
Number of Rejected Ballot,65,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_021_unwrap.jpg
Total Number at used Ballot Papers,65,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_021_unwrap.jpg
0,1,image_path
Number of Voters on the Register,666,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_019_unwrap.jpg
Number of Accredited Voters,100,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_019_unwrap.jpg
Number of Rejected Ballot,96,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_019_unwrap.jpg
Total Number at used Ballot Papers,100,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_019_unwrap.jpg
0,1,image_path
Number of Voters on the Register,241,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_013_unwrap.jpg
Number of Accredited Voters,241,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_013_unwrap.jpg
Number of Rejected Ballot,47,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_013_unwrap.jpg
Total Number at used Ballot Papers,FOHRU,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_10/ward_10/01_10_10_013_unwrap.jpg
0,1,image_path
Number of Voters on the Register,Code007,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_05/ward_08/01_05_08_007_unwrap.jpg
Number of Accredited Voters,655,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_05/ward_08/01_05_08_007_unwrap.jpg
Number of Rejected Ballot,129/28/16,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_05/ward_08/01_05_08_007_unwrap.jpg
Total Number at used Ballot Papers,132,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_05/ward_08/01_05_08_007_unwrap.jpg
0,1,image_path
Number of Voters on the Register,OneandNinglyone(1091),../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_007_unwrap.jpg
Number of Accredited Voters,TWOHUNDREDANDSEVEN,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_007_unwrap.jpg
Number of Rejected Ballot,ONE,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_007_unwrap.jpg
Total Number at used Ballot Papers,TwoHUMDREDANDFOUR(204),../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_04/01_01_04_007_unwrap.jpg
0,1,image_path
Number of Voters on the Register,POLLINGAGENT,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_03/01_01_03_004_unwrap.jpg
Number of Accredited Voters,bibuine,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_03/01_01_03_004_unwrap.jpg
Number of Rejected Ballot,,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_03/01_01_03_004_unwrap.jpg
Total Number at used Ballot Papers,,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_03/01_01_03_004_unwrap.jpg
0,1,image_path
Number of Voters on the Register,021,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_06/01_01_06_030_unwrap.jpg
Number of Accredited Voters,06,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_06/01_01_06_030_unwrap.jpg
Number of Rejected Ballot,01,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_06/01_01_06_030_unwrap.jpg
Total Number at used Ballot Papers,06,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_06/01_01_06_030_unwrap.jpg
0,1,image_path
Number of Voters on the Register,1247,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_03/01_01_03_010_unwrap.jpg
Number of Accredited Voters,259,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_03/01_01_03_010_unwrap.jpg
Number of Rejected Ballot,831,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_03/01_01_03_010_unwrap.jpg
Total Number at used Ballot Papers,846,../test_images/batch_test/unwrapped_files_jpg/state_01/lga_01/ward_03/01_01_03_010_unwrap.jpg
Number of Voters on the Register,438,../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_028_unwrap.jpg
Number of Accredited Voters,40197,../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_028_unwrap.jpg
Number of Rejected Ballot,85,../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_028_unwrap.jpg
Total Number at used Ballot Papers,97,../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_028_unwrap.jpg
Number of Voters on the Register,750,../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_016_unwrap.jpg
Number of Accredited Voters,404,../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_016_unwrap.jpg
Number of Rejected Ballot,369,../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_016_unwrap.jpg
Total Number at used Ballot Papers,369,../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_016_unwrap.jpg
Number of Voters on the Register,106,../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_047_unwrap.jpg
Number of Accredited Voters,53,../test_images/batch_test/unwrapped_files_jpg/state_22/lga_05/ward_10/22_05_10_047_unwrap.jpg
