polling_unit_code,state_name,lga_name,ward_name,unit_name,doc_id,slug,image_file,registered_num,accredited_num,accredit_mark,APC,PDP,LP,NNPP,total_use,presiding_officer_name_present,presiding_officer_signature_present,polling_agent_signature_present,black_stamp
01/15/09/012,ABIA,UMUAHIA NORTH,NKWOEGWU,UMUAFIAKA VILLAGE HALL,24808863,01_15_09_012_crop,01_15_09_012_24808863.gif,145.0,103.0,103.0,2.0,3.0,85.0,0.0,90.0,,,,
01/02/05/003,ABIA,ABA SOUTH,OHAZU I,OHAZU I AKOLI HALL III,24809398,01_02_05_003_crop,01_02_05_003_24809398.gif,767.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,,,,
01/01/06/003,ABIA,ABA NORTH,URATTA,URATTA COUNCIL HALL  - HALL PREMISES III,24807508,01_01_06_003_crop,01_01_06_003_24807508.gif,750.0,78.0,78.0,0.0,0.0,76.0,0.0,78.0,,,,
01/06/08/006,ABIA,ISIALA NGWA NORTH,AMAPU NTIGHA,UMUALATA - VILLAGE SQUARE UMUALATA,24807318,01_06_08_006_crop,01_06_08_006_24807318.gif,1154.0,163.0,163.0,1.0,13.0,142.0,1.0,160.0,,,,
01/05/07/009,ABIA,IKWUANO,OBORO III,NDORO CENTRAL SCHOOL III,24809628,01_05_07_009_crop,01_05_07_009_24809628.gif,81.0,47.0,47.0,0.0,0.0,41.0,0.0,46.0,,,,
01/05/01/007,ABIA,IKWUANO,OLOKO I,MBARAMA OKPU OLOKO - OKPU OLOKO,24809682,01_05_01_007_crop,01_05_01_007_24809682.gif,413.0,81.0,81.0,0.0,22.0,55.0,0.0,81.0,,,,
01/02/10/020,ABIA,ABA SOUTH,MOSQUE,MOSQUE NNEWI YOUTH HALL I,24809547,01_02_10_020_crop,01_02_10_020_24809547.gif,389.0,55.0,55.0,0.0,1.0,52.0,1.0,55.0,,,,
01/02/04/027,ABIA,ABA SOUTH,NGWA,NGWA-UGO COMMERCIAL COLLEGE I,24809435,01_02_04_027_crop,01_02_04_027_24809435.gif,1208.0,154.0,154.0,0.0,3.0,151.0,0.0,158.0,,,,
01/16/10/018,ABIA,UMUAHIA  SOUTH,UBAKALA  'B',NSUKWE TOWN HALL NSUKWE,24810653,01_16_10_018_crop,01_16_10_018_24810653.gif,179.0,96.0,96.0,0.0,0.0,0.0,0.0,,,,,
01/13/05/010,ABIA,UKWA EAST,AKWETE,UHUOBU VILLAGE SQUARE,24808586,01_13_05_010_crop,01_13_05_010_24808586.gif,428.0,111.0,111.0,1.0,19.0,146.0,0.0,170.0,,,,
01/02/03/006,ABIA,ABA SOUTH,ENYIMBA,ENYIMBA- ISIEKENESI HALL III,24809520,01_02_03_006_crop,01_02_03_006_24809520.gif,873.0,164.0,164.0,0.0,0.0,157.0,1.0,160.0,,,,
01/15/03/032,ABIA,UMUAHIA NORTH,NDUME,"OBIOKPULA VILLAGE SQUARE, IHIE",24809091,01_15_03_032_crop,01_15_03_032_24809091.gif,66.0,44.0,44.0,0.0,2.0,40.0,0.0,42.0,,,,
01/10/04/019,ABIA,OHAFIA,NDI ETITI NKPORO,"ELEBE NDI NYOM AMAOKWE, VILLAGE OBUOFIA",24810235,01_10_04_019_crop,01_10_04_019_24810235.gif,78.0,39.0,39.0,0.0,2.0,29.0,0.0,35.0,,,,
02/01/09/017,ADAMAWA,DEMSA,MBULA KULI,TASSALA II,24811450,02_01_09_017_crop,02_01_09_017_24811450.gif,434.0,138.0,138.0,19.0,59.0,49.0,0.0,135.0,1.0,1.0,1.0,0
02/01/09/009,ADAMAWA,DEMSA,MBULA KULI,TAHAU/ TAHAU PRY. SCH.,24811498,02_01_09_009_crop,02_01_09_009_24811498.gif,868.0,280.0,280.0,32.0,202.0,34.0,0.0,275.0,,,,
02/02/10/014,ADAMAWA,FUFORE,WURO BOKKI,BILACHI DISPENSARY,24813266,02_02_10_014_crop,02_02_10_014_24813266.gif,544.0,136.0,136.0,13.0,191.0,22.0,0.0,227.0,1.0,1.0,1.0,0
02/06/01/007,ADAMAWA,GUYUK,BANJIRAM,KRISTA/ GSS BANJIRAM,24811242,02_06_01_007_crop,02_06_01_007_24811242.gif,706.0,213.0,213.0,66.0,102.0,38.0,0.0,211.0,1.0,1.0,1.0,0
02/06/05/007,ADAMAWA,GUYUK,DUKUL,KANGIMA TSWINTHIRE PRY. SCH.,24811319,02_06_05_007_crop,02_06_05_007_24811319.gif,598.0,214.0,214.0,29.0,88.0,93.0,0.0,214.0,0.0,1.0,1.0,1
02/13/05/006,ADAMAWA,MICHIKA,MADZI,YAMBULE / YAMBULE PRI. SCH. I,24812605,02_13_05_006_crop,02_13_05_006_24812605.gif,750.0,303.0,303.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0
02/15/03/001,ADAMAWA,MUBI SOUTH,GELLA,LUMORE/ NEAR VIEWING CENTRE GELLA,24813004,02_15_03_001_crop,02_15_03_001_24813004.gif,750.0,0.0,,94.0,142.0,3.0,2.0,259.0,,,,
02/01/08/020,ADAMAWA,DEMSA,KPASHAM,KALTANGA,24811398,02_01_08_020_crop,02_01_08_020_24811398.gif,198.0,160.0,160.0,8.0,76.0,56.0,4.0,147.0,,,,
02/14/06/012,ADAMAWA,MUBI NORTH,MAYO BANI,TAPPARE PRI. SCH./ TAPPARE,24812221,02_14_06_012_crop,02_14_06_012_24812221.gif,322.0,127.0,127.0,0.0,28.0,94.0,4.0,126.0,,,,
02/05/06/009,ADAMAWA,GOMBI,GOMBI SOUTH,UNG. JAURO MUSA/ KOFAR JAURO MUSA I,24813329,02_05_06_009_crop,02_05_06_009_24813329.gif,750.0,220.0,220.0,75.0,134.0,4.0,1.0,216.0,,,,
02/18/05/003,ADAMAWA,SONG,KILANGE HIRNA,GELEDI,24814929,02_18_05_003_crop,02_18_05_003_24814929.gif,729.0,293.0,293.0,134.0,139.0,0.0,1.0,279.0,,,,
02/16/06/012,ADAMAWA,NUMAN,NUMAN I,BAMTATO II,24814494,02_16_06_012_crop,02_16_06_012_24814494.gif,49.0,37.0,37.0,3.0,9.0,24.0,0.0,36.0,,,,
02/18/01/007,ADAMAWA,SONG,DIRMA,DOLON,24814855,02_18_01_007_crop,02_18_01_007_24814855.gif,534.0,283.0,283.0,75.0,119.0,38.0,10.0,248.0,,,,
