polling_unit_code,state_name,lga_name,ward_name,unit_name,doc_id,slug,image_file,registered_num,accredited_num,accredit_mark,APC,PDP,LP,NNPP,total_use,presiding_officer_name_present,presiding_officer_signature_present,polling_agent_signature_present,black_stamp
01/02/04/027,ABIA,ABA SOUTH,NGWA,NGWA-UGO COMMERCIAL COLLEGE I,24809435,01_02_04_027_crop,01_02_04_027_24809435.png,1208.0,154.0,154.0,0.0,3.0,151.0,0.0,158.0,,,,
01/02/10/020,ABIA,ABA SOUTH,MOSQUE,MOSQUE NNEWI YOUTH HALL I,24809547,01_02_10_020_crop,01_02_10_020_24809547.png,389.0,55.0,55.0,0.0,1.0,52.0,1.0,55.0,,,,
01/01/06/003,ABIA,ABA NORTH,URATTA,URATTA COUNCIL HALL  - HALL PREMISES III,24807508,01_01_06_003_crop,01_01_06_003_24807508.png,750.0,78.0,78.0,0.0,0.0,76.0,0.0,78.0,,,,
01/13/05/010,ABIA,UKWA EAST,AKWETE,UHUOBU VILLAGE SQUARE,24808586,01_13_05_010_crop,01_13_05_010_24808586.png,428.0,111.0,111.0,1.0,19.0,146.0,0.0,170.0,,,,
01/10/04/019,ABIA,OHAFIA,NDI ETITI NKPORO,"ELEBE NDI NYOM AMAOKWE, VILLAGE OBUOFIA",24810235,01_10_04_019_crop,01_10_04_019_24810235.png,78.0,39.0,39.0,0.0,2.0,29.0,0.0,35.0,,,,
01/05/01/007,ABIA,IKWUANO,OLOKO I,MBARAMA OKPU OLOKO - OKPU OLOKO,24809682,01_05_01_007_crop,01_05_01_007_24809682.png,413.0,81.0,81.0,0.0,22.0,55.0,0.0,81.0,,,,
01/15/03/032,ABIA,UMUAHIA NORTH,NDUME,"OBIOKPULA VILLAGE SQUARE, IHIE",24809091,01_15_03_032_crop,01_15_03_032_24809091.png,66.0,44.0,44.0,0.0,2.0,40.0,0.0,42.0,,,,
01/16/10/018,ABIA,UMUAHIA  SOUTH,UBAKALA  'B',NSUKWE TOWN HALL NSUKWE,24810653,01_16_10_018_crop,01_16_10_018_24810653.png,179.0,96.0,96.0,0.0,0.0,0.0,0.0,,,,,
01/06/08/006,ABIA,ISIALA NGWA NORTH,AMAPU NTIGHA,UMUALATA - VILLAGE SQUARE UMUALATA,24807318,01_06_08_006_crop,01_06_08_006_24807318.png,1154.0,163.0,163.0,1.0,13.0,142.0,1.0,160.0,,,,
02/02/10/014,ADAMAWA,FUFORE,WURO BOKKI,BILACHI DISPENSARY,24813266,02_02_10_014_crop,02_02_10_014_24813266.png,544.0,136.0,136.0,13.0,191.0,22.0,0.0,227.0,1.0,1.0,1.0,0
